部件名称 (Part Name),出现角色数 (Count),覆盖率 (Coverage)
L_Foot,320,79.80%
R_Foot,318,79.30%
R_Arm,311,77.56%
Mouth,310,77.31%
L_Arm,309,77.06%
Chest,294,73.32%
L_Leg,292,72.82%
R_Leg,291,72.57%
L_Forearm,277,69.08%
Head,275,68.58%
R_Forearm,273,68.08%
Waist,273,68.08%
L_Hand,272,67.83%
R_Hand,266,66.33%
L_Calf,256,63.84%
R_Calf,253,63.09%
Hair,232,57.86%
L_Ear,200,49.88%
R_Eye,196,48.88%
L_Eye,194,48.38%
R_Ear,191,47.63%
Tail,189,47.13%
Hip,163,40.65%
Face,158,39.40%
R_Finger,149,37.16%
R_Eyebrow,146,36.41%
L_Eyebrow,143,35.66%
L_Finger,140,34.91%
Belt,137,34.16%
L_Hair,129,32.17%
R_Hair,124,30.92%
Weapon,107,26.68%
L_Coat,101,25.19%
R_Coat,98,24.44%
Bag,97,24.19%
Coat,92,22.94%
Eye,86,21.45%
Skirt,82,20.45%
Hat,81,20.20%
L_Eyeball,80,19.95%
R_Eyeball,78,19.45%
L_Eyelash,76,18.95%
R_Eyelash,74,18.45%
R_Collar,71,17.71%
L_Collar,67,16.71%
Bangs,63,15.71%
L_Thigh,63,15.71%
Collar,63,15.71%
R_Thigh,62,15.46%
R_Palm,62,15.46%
Eyebrow,61,15.21%
L_Palm,58,14.46%
L_Horn,52,12.97%
Ear,51,12.72%
R_Eyewhite,51,12.72%
R_Horn,50,12.47%
B_Hair,50,12.47%
C_Weapon,50,12.47%
L_Eyewhite,49,12.22%
L_Eyelid,49,12.22%
R_Eyelid,48,11.97%
Hand,44,10.97%
R_Fingers,42,10.47%
L_Bangs,39,9.73%
Arm,38,9.48%
Body,38,9.48%
R_Bangs,37,9.23%
Clothes,36,8.98%
L_Brow,36,8.98%
Forearm,35,8.73%
Calf,34,8.48%
Annex,33,8.23%
L_Sleeve,32,7.98%
R_Brow,32,7.98%
Cloak,32,7.98%
R_Sleeve,31,7.73%
Card,31,7.73%
Necklace,31,7.73%
Tape,30,7.48%
Front_Hair,28,6.98%
Braid,28,6.98%
L_Fingers,28,6.98%
L_Shoulder,27,6.73%
R_Temple,27,6.73%
L_Temple,27,6.73%
L_Bag,26,6.48%
R_Eyeblow,26,6.48%
L_Eyeblow,26,6.48%
R_C_Hand,26,6.48%
Tie,25,6.23%
F_Hair,25,6.23%
R_Eyeclose,25,6.23%
L_Eyeclose,25,6.23%
R_Cloak,25,6.23%
L_Cloak,25,6.23%
Neck,25,6.23%
L_White,25,6.23%
R_Eye_Dizzy,25,6.23%
L_Eye_Dizzy,25,6.23%
Horn,25,6.23%
Pelvis,24,5.99%
L_C_Hand,24,5.99%
Scarf,23,5.74%
Mask,23,5.74%
R_White,23,5.74%
L_Thumb,23,5.74%
Leg,23,5.74%
Back_Hair,23,5.74%
R_Shoulder,22,5.49%
R_Belt,22,5.49%
L_Belt,22,5.49%
Shoes,22,5.49%
L_Hand_Fist,22,5.49%
Cloth,21,5.24%
Brow,20,4.99%
L_Tape,20,4.99%
Ribbon,20,4.99%
R_Ring,20,4.99%
R_Eye_Closed,20,4.99%
L_Eye_Closed,20,4.99%
B_Coat,20,4.99%
Eyes,19,4.74%
L_Skirt,19,4.74%
R_Thumb,19,4.74%
L_WhiteOfEye,19,4.74%
R_WhiteOfEye,19,4.74%
R_Hand_Fist,19,4.74%
Foot,18,4.49%
L_Ring,18,4.49%
Mouth_Dizzy,18,4.49%
L_eyebrow,18,4.49%
Mouth_Laugh,18,4.49%
L_Finger_Fist,18,4.49%
Coat_Back,17,4.24%
Ponytail,17,4.24%
Eye_R_Off,17,4.24%
Face_Default,17,4.24%
Ahoge,17,4.24%
R_Index,17,4.24%
L_C_Eye,17,4.24%
L_Cloth,17,4.24%
R_eyebrow,17,4.24%
Hood,16,3.99%
mouth,16,3.99%
L_Fist,16,3.99%
R_Tape,16,3.99%
L_Middle,16,3.99%
R_Middle,16,3.99%
Hair_Back,16,3.99%
R_C_Eye,16,3.99%
Shadow,16,3.99%
R_Tail,16,3.99%
R_EyeWhite,16,3.99%
L_EyeWhite,16,3.99%
L_Eye_Off,16,3.99%
R_Eye_Off,16,3.99%
Sclera,15,3.74%
Eye_L_Off,15,3.74%
R_Skirt,15,3.74%
R_Bag,15,3.74%
R_Temples,15,3.74%
L_Tail,15,3.74%
